,MODELS,VERSION,BRANDS,Fuel,MODEL_YEAR,RTO,Transmission,OWNER,KM_DRIVEN,Location,EMI,FINAL_PRICE,ACTUAL_PRICE,Discount_Amount,CAR_AGE
411,Duster,RXS CVTAutomatic,Renault,Petrol,2018,KA-04,Automatic,1,36718,Bengaluru,15542,795000,874000,79000,5
412,Duster,85 PS RXE DIESEL,Renault,Diesel,2014,KA-02,Manual,3,109706,Bengaluru,8837,452000,452000,0,9
413,Duster,RXS 85 PS,Renault,Diesel,2016,KA-05,Manual,2,73494,Bengaluru,14193,726000,921000,195000,7
414,Kiger,RXZ TURBO MT,Renault,Petrol,2021,KA-14,Manual,1,27839,Benga,15093,772000,930000,158000,2
415,Kwid,RXT 1.0 (O),Renault,Petrol,2018,KA-50,Manual,2,64592,Bengaluru,6647,340000,349000,9000,5
416,Kwid,RXT 0.8 (O),Renault,Petrol,2016,KA-51,Manual,1,66707,Bengaluru,6354,325000,345000,20000,7
417,Kwid,RXT 0.8,Renault,Petrol,2017,KA-51,Manual,1,16808,Bengaluru,7488,383000,388000,5000,6
418,Kwid,RXT 0.8,Renault,Petrol,2017,KA-08,Manual,1,56637,Benga,6510,333000,367000,34000,6
419,TRIBER,RXZ,Renault,Petrol,2020,KA-51,Manual,1,52442,Bengaluru,13036,666800,693000,26200,3
420,Kiger,RXZ 1.0 MT,Renault,Petrol,2021,KA-04,Manual,1,12233,Bengaluru,15054,770000,902000,132000,2
421,Duster,85 PS RXL DIESEL,Renault,Diesel,2015,KA-51,Manual,1,87360,Bengaluru,12708,650000,663000,13000,8
422,Kwid,RXT 1.0 EASY-R  ATAutomatic,Renault,Petrol,2018,KA-53,Automatic,2,74133,Bengaluru,7370,377000,438000,61000,5
423,Kwid,CLIMBER 1.0 (O),Renault,Petrol,2020,KA-16,Manual,3,43285,Bengaluru,8641,442000,515000,73000,3
424,Duster,RXS CVTAutomatic,Renault,Petrol,2018,KA-53,Automatic,1,56443,Bengaluru,15054,770000,837000,67000,5
425,Kwid,1.0 CLIMBER OPT,Renault,Petrol,2021,KA-50,Manual,1,41968,Bengaluru,9267,474000,530000,56000,2
426,Pulse,RX L DIESEL,Renault,Diesel,2014,KA-51,Manual,1,83271,Bengaluru,6569,336000,371000,35000,9
427,Kwid,RXT 1.0 AMT (O)Automatic,Renault,Petrol,2018,KA-17,Automatic,2,72220,Bengaluru,7625,390000,390000,0,5
428,Duster,RXL PETROL,Renault,Petrol,2017,KA-41,Manual,1,38520,Bengaluru,14760,755000,826000,71000,6
429,Kwid,RXT 1.0 (O),Renault,Petrol,2019,KA-50,Manual,1,26039,Bengaluru,8172,418000,463000,45000,4
430,Duster,RXZ 1.5 PETROL MT,Renault,Petrol,2020,KA-03,Manual,2,20600,Bengaluru,18082,950000,1113000,163000,3
431,Tiago,XZ PETROL,Tata,Petrol,2016,KA-41,Manual,1,43179,Bengaluru,9580,490000,548000,58000,7
432,Tiago,XZA PLUS PETROLAutomatic,Tata,Petrol,2021,KA-51,Automatic,1,35683,Bengaluru,13177,674000,719000,45000,2
433,Bolt,XM REVOTRON,Tata,Petrol,2015,KA-51,Manual,3,58472,Bengaluru,6197,317000,357000,40000,8
434,Harrier,XZ PLUS 2.0L DUAL TONE,Tata,Diesel,2021,KA-03,Manual,1,27068,Bengaluru,38011,1997000,1997000,0,2
435,Tiago,XE PETROL,Tata,Petrol,2016,KA-02,Manual,1,101386,Bengaluru,6843,350000,373000,23000,7
436,Tiago,XZA PETROLAutomatic,Tata,Petrol,2017,KA-02,Automatic,1,45408,Bengaluru,9110,466000,512000,46000,6
437,NEXON,XZ+ 1.5,Tata,Diesel,2019,KA-05,Manual,1,67271,Bengaluru,15627,821000,1010000,189000,4
438,Tiago,XE PETROL,Tata,Petrol,2017,KA-04,Manual,1,38063,Bengaluru,8016,410000,457000,47000,6
439,ALTROZ,XE PETROL,Tata,Petrol,2021,KA-51,Manual,1,29964,Benga,12786,654000,671000,17000,2
440,Tiago,XZ PETROL,Tata,Petrol,2018,KA-41,Manual,2,36692,Bengaluru,9130,467000,516000,49000,5
441,TIGOR,XM PETROL,Tata,Petrol,2018,KA-25,Manual,1,55652,Bengaluru,9521,487000,521000,34000,5
442,Tiago,XZ PETROL,Tata,Petrol,2016,KA-05,Manual,2,77017,Bengaluru,7912,404700,417000,12300,7
443,Zest,XMA F-TRONIC DIESELAutomatic,Tata,Diesel,2015,KA-05,Automatic,1,72004,Bengaluru,8739,447000,528000,81000,8
444,Tiago,XZ PETROL,Tata,Petrol,2018,KA-51,Manual,2,38272,Bengaluru,9247,473000,529000,56000,5
445,NEXON,XZA PLUS DIESELAutomatic,Tata,Diesel,2021,KA-17,Automatic,1,32154,Bengaluru,18653,980000,1030000,50000,2
446,ALTROZ,XZ PETROL,Tata,Petrol,2020,KA-51,Manual,1,45295,Benga,14760,755000,824000,69000,3
447,NEXON,XZ PLUS PETROL,Tata,Petrol,2023,KA-41,Manual,1,19034,Bengaluru,19910,1046000,1126000,80000,0
448,Tiago,XZ PETROL,Tata,Petrol,2016,KA-03,Manual,2,78959,Bengaluru,8934,457000,499000,42000,7
449,NEXON,XZA PLUS DIESELAutomatic,Tata,Diesel,2019,KA-53,Automatic,2,57898,Bengaluru,17074,897000,905000,8000,4
450,Zest,XMA F-TRONIC DIESELAutomatic,Tata,Diesel,2015,KA-02,Automatic,1,116242,Bengaluru,8348,427000,467000,40000,8
451,Go,A,Datsun,Petrol,2019,KA-50,Manual,2,26250,Bengaluru,5533,283000,310000,27000,4
452,Go,T(O) 1.0,Datsun,Petrol,2017,KA-05,Manual,1,46031,Bengaluru,5435,278000,335000,57000,6
453,Go,T (O),Datsun,Petrol,2016,KA-01,Manual,1,40818,Bengaluru,4946,253000,265000,12000,7
454,Go,S 1.0 AMTAutomatic,Datsun,Petrol,2018,KA-05,Automatic,1,38396,Bengaluru,6784,347000,381000,34000,5
455,Go,T(O) 1.0 AMTAutomatic,Datsun,Petrol,2020,KA-01,Automatic,1,4512,Bengaluru,10088,516000,522000,6000,3
456,Go,T(O) 1.0,Datsun,Petrol,2017,KA-01,Manual,1,33357,Bengaluru,6295,322000,341000,19000,6
457,Go,1.0 T(O),Datsun,Petrol,2018,KA-19,Manual,1,6488,Bengaluru,6835,349599,349599,0,5
458,Go,T,Datsun,Petrol,2014,KA-53,Manual,1,65504,Bengaluru,5251,268599,279699,11100,9
459,Go,T,Datsun,Petrol,2014,KA-51,Manual,1,78416,Bengaluru,4624,236499,236499,0,9
460,Go,T (O),Datsun,Petrol,2021,KA-09,Manual,1,1828,Bengaluru,8798,449999,449999,0,2
461,Polo,COMFORTLINE 1.2L PETROL,Volkswagen,Petrol,2010,KA-03,Manual,2,52771,Bengaluru,6667,341000,354000,13000,13
462,Ameo,HIGHLINE1.2L,Volkswagen,Petrol,2016,KA-51,Manual,2,142245,Bengaluru,8387,429000,464000,35000,7
463,Polo,COMFORTLINE 1.2L,Volkswagen,Petrol,2016,KA-05,Manual,3,56550,Bengaluru,10498,537000,570000,33000,7
464,Polo,COMFORTLINE 1.5L,Volkswagen,Diesel,2017,KA-53,Manual,3,69062,Bengaluru,12708,650000,672000,22000,6
465,Polo,GT TSI ATAutomatic,Volkswagen,Petrol,2016,KA-09,Automatic,2,96698,Bengaluru,13724,702000,738000,36000,7
466,Ameo,HIGHLINE DSG 1.5 DIESEL Automatic,Volkswagen,Diesel,2017,KA-41,Automatic,2,78752,Bengaluru,10909,558000,640000,82000,6
467,Ameo,HIGHLINE1.5L,Volkswagen,Diesel,2016,KA-05,Manual,1,80155,Bengaluru,10655,545000,577000,32000,7
468,Ameo,HIGHLINE1.2L PLUS 16 ALLOY,Volkswagen,Petrol,2018,KA-04,Manual,1,35791,Bengaluru,12141,621000,659000,38000,5
469,Ameo,HIGHLINE1.2L,Volkswagen,Petrol,2017,KA-05,Manual,1,59897,Bengaluru,10753,550000,636000,86000,6
470,Polo,GT TSI ATAutomatic,Volkswagen,Petrol,2016,KA-06,Automatic,2,113800,Bengaluru,14057,719000,725000,6000,7
471,VIRTUS,TOPLINE TSI 1.0 ATAutomatic,Volkswagen,Petrol,2022,KA-09,Automatic,1,11880,Bengaluru,30683,1612000,1718000,106000,1
472,Vento,HIGHLINE PETROL ATAutomatic,Volkswagen,Petrol,2016,KA-03,Automatic,1,71642,Bengaluru,13275,679000,828000,149000,7
473,Ameo,HIGHLINE PLUS 1.5L AT 16 ALLOYAutomatic,Volkswagen,Diesel,2017,KA-25,Automatic,2,87012,Bengaluru,11535,590000,661000,71000,6
474,TAIGUN,GT 1.5 TSI MT,Volkswagen,Petrol,2022,KA-55,Manual,1,16255,Bengaluru,28399,1492000,1575000,83000,1
475,Vento,HIGHLINE TDI ATAutomatic,Volkswagen,Diesel,2015,KA-04,Automatic,1,75377,Bengaluru,13763,704000,874000,170000,8
476,Polo,HIGHLINE DIESEL,Volkswagen,Diesel,2014,KA-53,Manual,2,100761,Bengaluru,12375,633000,680000,47000,9
477,Vento,HIGHLINE PETROL ATAutomatic,Volkswagen,Petrol,2016,KA-01,Automatic,2,48079,Bengaluru,14584,746000,801000,55000,7
478,Vento,HIGHLINE PETROL ATAutomatic,Volkswagen,Petrol,2016,KA-09,Automatic,2,50816,Bengaluru,13998,716000,813000,97000,7
479,TAIGUN,TOPLINE 1.0 TSI MT,Volkswagen,Petrol,2022,KA-03,Manual,1,5356,Bengaluru,29807,1566000,1690000,124000,1
480,Vento,HIGHLINE PETROL ATAutomatic,Volkswagen,Petrol,2016,KA-04,Automatic,1,80842,Bengaluru,15284,803000,860000,57000,7
481,FREESTYLE,TREND 1.5 DIESEL,Ford,Diesel,2018,KA-03,Manual,2,87777,Bengaluru,10792,552000,610000,58000,5
482,Ecosport,TITANIUM + 1.5L DIESEL,Ford,Diesel,2018,KA-04,Manual,2,46250,Bengaluru,15608,820000,820000,0,5
483,Ecosport,TITANIUM + 1.5L PETROL,Ford,Petrol,2020,KA-02,Manual,1,14618,Bengaluru,17892,940000,1010000,70000,3
484,Ecosport,TREND+ 1.5L DIESEL,Ford,Diesel,2018,KA-03,Manual,3,36261,Bengaluru,14115,722000,745000,23000,5
485,Ecosport,TITANIUM 1.5L PETROL,Ford,Petrol,2016,KA-03,Manual,2,19397,Bengaluru,12923,661000,720000,59000,7
486,Ecosport,TITANIUM 1.5L PETROL ATAutomatic,Ford,Petrol,2015,KA-05,Automatic,2,42710,Bengaluru,12414,635000,678000,43000,8
487,Ecosport,TREND 1.5L PETROL,Ford,Petrol,2017,KA-36,Manual,1,80390,Bengaluru,11867,607000,658000,51000,6
488,Ecosport,TITANIUM + 1.5L PETROL,Ford,Petrol,2018,KA-02,Manual,2,6492,Bengaluru,17568,923000,969000,46000,5
489,Ecosport,TITANIUM 1.5L DIESEL,Ford,Diesel,2016,KA-09,Manual,2,74380,Bengaluru,12708,650000,684000,34000,7
490,Ecosport,TITANIUM + 1.5L PETROL ATAutomatic,Ford,Petrol,2020,KA-04,Automatic,1,31724,Bengaluru,18311,962000,1193000,231000,3
491,Ecosport,TITANIUM 1.5L DIESEL,Ford,Diesel,2018,KA-05,Manual,2,35922,Bengaluru,15646,822000,854000,32000,5
492,Ecosport,TITANIUM + 1.5L PETROL,Ford,Petrol,2018,KA-03,Manual,1,36916,Bengaluru,15874,834000,861000,27000,5
493,Ecosport,TITANIUM 1.5L PETROL ATAutomatic,Ford,Petrol,2016,KA-51,Automatic,2,49068,Bengaluru,13646,698000,746000,48000,7
494,Ecosport,TITANIUM 1.5L PETROL ATAutomatic,Ford,Petrol,2017,KA-05,Automatic,2,85126,Bengaluru,13685,700000,767000,67000,6
495,Ecosport,TITANIUM + 1.5L PETROL ATAutomatic,Ford,Petrol,2018,KA-51,Automatic,2,12623,Bengaluru,17131,900000,918000,18000,5
496,Ecosport,TITANIUM 1.5L PETROL ATAutomatic,Ford,Petrol,2018,KA-04,Automatic,2,43481,Bengaluru,15284,803000,958000,155000,5
497,Ecosport,TITANIUM 1.5L DIESEL,Ford,Diesel,2017,KA-03,Manual,1,48743,Bengaluru,15112,773000,848000,75000,6
498,Ecosport,AMBIENTE 1.5L PETROL,Ford,Petrol,2017,HR-13,Manual,2,40031,Bengaluru,12903,660000,660000,0,6
499,FREESTYLE,TITANIUM 1.5 DIESEL,Ford,Diesel,2020,KA-19,Manual,1,35642,Bengaluru,15601,798000,813000,15000,3
500,Ecosport,TITANIUM 1.5L DIESEL,Ford,Diesel,2017,KA-02,Manual,2,46860,Bengaluru,15034,769000,795000,26000,6
501,SELTOS,HTK PLUS 1.5,KIA,Petrol,2020,KA-07,Manual,2,44431,Bengaluru,20290,1066000,1066000,0,3
502,SELTOS,GTX + AT PETROLAutomatic,KIA,Petrol,2019,KA-51,Automatic,1,38093,Bengaluru,29484,1549000,1881000,332000,4
503,CARENS,LUXURY PLUS 1.4 PETROL DCT 6 STRAutomatic,KIA,Petrol,2022,KA-35,Automatic,1,22767,Bengaluru,32491,1707000,1795000,88000,1
504,SELTOS,HTX 1.5 PETROL,KIA,Petrol,2022,KA-05,Manual,1,10845,Bengaluru,26933,1415000,1492000,77000,1
505,SELTOS,GTK 1.4 PETROL,KIA,Petrol,2019,KA-04,Manual,1,91486,Bengaluru,21432,1126000,1184000,58000,4
506,SONET,GTX PLUS 1.0 IMT,KIA,Petrol,2021,KA-03,Manual,1,16626,Bengaluru,22574,1186000,1264000,78000,2
507,SONET,GTX PLUS 1.5 ATAutomatic,KIA,Diesel,2020,KA-51,Automatic,1,34990,Bengaluru,25030,1315000,1387000,72000,3
508,SELTOS,HTK PLUS 1.5 DIESEL,KIA,Diesel,2020,KA-51,Manual,2,11840,Bengaluru,25601,1345000,1465000,120000,3
509,SELTOS,HTX PLUS 1.5 DIESEL,KIA,Diesel,2021,KA-05,Manual,1,52779,Bengaluru,28170,1480000,1561000,81000,2
510,SELTOS,HTX PLUS 1.5 DIESEL,KIA,Diesel,2021,KA-03,Manual,1,47344,Bengaluru,28456,1495000,1575000,80000,2
511,SONET,HTX PLUS 1.0 IMT,KIA,Petrol,2021,KA-51,Manual,1,36352,Bengaluru,21984,1155000,1219000,64000,2
512,SONET,GTX PLUS 1.0 IMT,KIA,Petrol,2022,KA-03,Manual,1,7616,Bengaluru,24801,1303000,1371000,68000,1
513,SELTOS,X LINE 1.4 PETROL DCTAutomatic,KIA,Petrol,2021,KA-20,Automatic,1,81321,Benga,30327,1593300,1698000,104700,2
514,SELTOS,HTK PLUS 1.5,KIA,Petrol,2021,KA-06,Manual,1,17329,Benga,20633,1084000,1153000,69000,2
515,SELTOS,HTK PLUS 1.5 DIESEL,KIA,Diesel,2020,KA-51,Manual,1,39377,Bengaluru,24249,1274000,1287000,13000,3
516,SELTOS,GTK 1.4 PETROL,KIA,Petrol,2019,KA-41,Manual,1,36307,Bengaluru,22567,1185600,1258000,72400,4
517,SELTOS,GTK 1.4 PETROL,KIA,Petrol,2019,KA-53,Manual,1,42345,Bengaluru,22574,1186000,1241000,55000,4
518,SELTOS,GTX 1.4 PETROL,KIA,Petrol,2019,KA-03,Manual,1,28117,Bengaluru,25924,1362000,1419000,57000,4
519,SELTOS,GTX 1.4 PETROL,KIA,Petrol,2019,KA-03,Manual,1,38723,Bengaluru,24116,1267000,1314000,47000,4
520,Rapid,ELEGANCE 1.6 TDI CR MT,Skoda,Diesel,2011,KA-03,Manual,2,93538,Bengaluru,7449,381000,381000,0,12
521,Rapid,1.5 TDI MT AMBITION,Skoda,Diesel,2017,KA-52,Manual,2,48960,Benga,14682,751000,863000,112000,6
522,Kodiaq,STYLE 2.0 TDI 4X4 ATAutomatic,Skoda,Diesel,2017,KA-01,Automatic,2,89723,Bengaluru,40181,2111000,2132000,21000,6
523,Rapid,1.5 TDI CR ELEGANCE ATAutomatic,Skoda,Diesel,2015,KA-51,Automatic,1,107208,Bengaluru,9853,504000,536000,32000,8
524,Rapid,AMBITION 1.6 MPI MT,Skoda,Petrol,2017,KA-01,Manual,2,124707,Bengaluru,12180,623000,697000,74000,6
525,Rapid,1.5 TDI AT  Ambition PlusAutomatic,Skoda,Diesel,2015,KA-01,Automatic,2,93424,Bengaluru,10127,518000,554000,36000,8
526,SLAVIA,AMBITION 1.0L TSI MT,Skoda,Petrol,2022,KA-05,Manual,1,7281,Bengaluru,25582,1344000,1449000,105000,1
527,Rapid,AMBITION AT TSIAutomatic,Skoda,Petrol,2021,KA-51,Automatic,1,29517,Benga,19834,1042000,1194000,152000,2
528,Rapid,STYLE 1.5 TDI ATAutomatic,Skoda,Diesel,2017,KA-19,Automatic,1,105925,Bengaluru,16826,884000,884000,0,6
529,Rapid,STYLE 1.5 TDI ATAutomatic,Skoda,Diesel,2017,KA-03,Automatic,1,75037,Bengaluru,17664,928000,997000,69000,6
530,Rapid,AMBITION 1.6 MPI MT,Skoda,Petrol,2017,KA-03,Manual,1,36024,Bengaluru,13666,699000,797000,98000,6
531,Compass,SPORT 2.0 DIESEL,Jeep,Diesel,2018,KA-53,Manual,1,79040,Bengaluru,23583,1239000,1331000,92000,5
532,Compass,SPORT 2.0 DIESEL,Jeep,Diesel,2019,KA-04,Manual,1,38529,Bengaluru,27352,1437000,1499000,62000,4
533,Compass,LIMITED (O) 1.4 PETROL ATAutomatic,Jeep,Petrol,2018,KA-01,Automatic,3,18610,Bengaluru,26495,1392000,1469000,77000,5
534,Compass,LIMITED 1.4 ATAutomatic,Jeep,Petrol,2017,KA-01,Automatic,1,22590,Bengaluru,32156,1689399,1689399,0,6
535,Compass,2.0 LONGITUDE (O),Jeep,Diesel,2018,KA-03,Manual,1,13092,Bengaluru,30422,1598299,1737099,138800,5
536,Compass,LIMITED 1.4 ATAutomatic,Jeep,Petrol,2017,KA-03,Automatic,2,14094,Bengaluru,29748,1562899,1562899,0,6
537,Compass,2.0 LONGITUDE,Jeep,Diesel,2018,KA-14,Manual,1,90912,Bengaluru,25658,1348000,1539000,191000,5
538,Compass,LIMITED (O) 2.0,Jeep,Diesel,2018,KA-03,Manual,2,32894,Bengaluru,28054,1473899,1574699,100800,5
539,Compass,2.0 LIMITED PLUS,Jeep,Diesel,2019,KA-01,Manual,2,16052,Bengaluru,35085,1843299,1925699,82400,4
540,Compass,LIMITED O 1.4 ATAutomatic,Jeep,Petrol,2018,KA-04,Automatic,1,51628,Bengaluru,31450,1652299,1715699,63400,5
541,Swift,VXI,Maruti,Petrol,2016,TN-02,Manual,1,48870,Chennai,10225,523000,554000,31000,7
542,Swift,ZXI,Maruti,Petrol,2021,TN-06,Manual,1,15922,Chennai,13626,697000,697000,0,2
543,Swift,VXI,Maruti,Petrol,2013,TN-11,Manual,3,88122,Chennai,7194,368000,414000,46000,10
544,800,LXI,Maruti,Petrol,2015,TN-19,Manual,2,111283,Chennai,4555,233000,274000,41000,8
545,Ritz,ZXI,Maruti,Petrol,2011,TN-22,Manual,1,81738,Chennai,5572,285000,310000,25000,12
546,Baleno,ZETA PETROL 1.2,Maruti,Petrol,2017,TN-22,Manual,1,48362,Chennai,12336,631000,631000,0,6
547,800,LXI,Maruti,Petrol,2014,TN-12,Manual,2,43088,Chennai,4770,244000,273000,29000,9
548,Swift,ZXI,Maruti,Petrol,2017,TN-02,Manual,1,35149,Chennai,11183,572000,627000,55000,6
549,Dzire,VXI,Maruti,Petrol,2017,TN-05,Manual,1,12360,Chennai,12981,664000,673000,9000,6
550,800,VXI O,Maruti,Petrol,2016,TN-07,Manual,3,21665,Chennai,5455,279000,304000,25000,7
551,Dzire,VXI (O),Maruti,Petrol,2016,TN-09,Manual,1,56176,Chennai,9795,501000,576000,75000,7
552,Baleno,ALPHA PETROL 1.2,Maruti,Petrol,2016,TN-13,Manual,1,82653,Chennai,11515,589000,632000,43000,7
553,Baleno,DELTA PETROL 1.2,Maruti,Petrol,2019,TN-20,Manual,2,82171,Chennai,11222,574000,663000,89000,4
554,Celerio,VXI (O),Maruti,Petrol,2016,TN-11,Manual,3,69437,Chennai,7155,366000,421000,55000,7
555,Swift,VXI,Maruti,Petrol,2015,TN-13,Manual,1,89183,Chennai,9013,461000,511000,50000,8
556,Swift,VDI,Maruti,Diesel,2013,TN-22,Manual,1,96165,Chennai,8524,436000,475000,39000,10
557,Wagon-R,ZXI PLUS 1.2 DUAL TONE,Maruti,Petrol,2022,TN-36,Manual,1,4756,Chennai,11613,594000,659000,65000,1
558,Baleno,ALPHA PETROL 1.2,Maruti,Petrol,2017,TN-14,Manual,3,36573,Chennai,11007,563000,634000,71000,6
559,Cross,SIGMA 1.5,Maruti,Petrol,2021,TN-85,Manual,1,11323,Chennai,16274,855000,915000,60000,2
560,Ciaz,ALPHA 1.4 PETROL,Maruti,Petrol,2017,TN-06,Manual,2,104073,Chennai,11026,564000,661000,97000,6
561,i20,SPORTZ (O) 1.2,Hyundai,Petrol,2011,TN-02,Manual,3,50046,Chennai,5885,301000,301000,0,12
562,VENUE,S 1.2,Hyundai,Petrol,2022,TN-11,Manual,1,39761,Chennai,16293,856000,881000,25000,1
563,Eon,ERA PLUS (O),Hyundai,Petrol,2017,TN-11,Manual,1,55913,Chennai,6823,349000,349000,0,6
564,i10,SPORTZ 1.2 KAPPA VTVT,Hyundai,Petrol,2017,TN-14,Manual,1,66613,Chennai,10381,531000,567000,36000,6
565,Verna,FLUIDIC 4S 1.6 VTVT SX,Hyundai,Petrol,2016,TN-05,Manual,1,41659,Chennai,12532,641000,666000,25000,7
566,i20,MAGNA 1.2,Hyundai,Petrol,2014,TN-03,Manual,2,35325,Chennai,9501,486000,536000,50000,9
567,i20,SPORTZ 1.4 CRDI,Hyundai,Diesel,2014,TN-02,Manual,3,76697,Chennai,9482,485000,539000,54000,9
568,i10,MAGNA 1.1,Hyundai,Petrol,2016,TN-11,Manual,1,41514,Chennai,7429,380000,391000,11000,7
569,i20,ASTA 1.2,Hyundai,Petrol,2014,TN-14,Manual,2,83423,Chennai,9325,477000,528000,51000,9
570,i10,MAGNA 1.2,Hyundai,Petrol,2011,TN-22,Manual,1,45851,Chennai,5630,288000,288000,0,12
571,Eon,MAGNA +,Hyundai,Petrol,2018,TN-19,Manual,2,57231,Chennai,6510,333000,364000,31000,5
