,MODELS,VERSION,BRANDS,Fuel,MODEL_YEAR,RTO,Transmission,OWNER,KM_DRIVEN,Location,EMI,FINAL_PRICE,ACTUAL_PRICE,Discount_Amount,CAR_AGE
711,Rapid,AMBITION 1.5 TDI,Skoda,Diesel,2018,TN-04,Manual,1,73139,Chennai,14252,729000,811000,82000,5
712,Rapid,AMBITION 1.5 TDI,Skoda,Diesel,2019,TN-12,Manual,1,59465,Chennai,16236,853000,862000,9000,4
713,Rapid,MONTE CARLO TSI,Skoda,Petrol,2021,TN-19,Manual,1,34757,Chennai,20918,1099000,1131000,32000,2
714,Rapid,ELEGANCE 1.6 MPFI ATAutomatic,Skoda,Petrol,2016,TN-23,Automatic,2,99715,Chennai,13294,680000,781000,101000,7
715,SLAVIA,STYLE 1.5L TSI DSGAutomatic,Skoda,Petrol,2022,TN-19,Automatic,1,27524,Chennai,33862,1779000,1902000,123000,1
716,Rapid,ELEGANCE 1.6 MPI MT,Skoda,Petrol,2013,TN-01,Manual,3,96727,Chennai,7214,369000,395000,26000,10
717,Rapid,STYLE 1.6 MPI MT,Skoda,Petrol,2019,TN-02,Manual,1,38220,Chennai,17553,922199,922199,0,4
718,Rapid,STYLE 1.6 MPI MT,Skoda,Petrol,2018,TN-11,Manual,1,38702,Chennai,15532,816000,909000,93000,5
719,Rapid,Style 1.5 TDI ATAutomatic,Skoda,Diesel,2017,TN-05,Automatic,1,61107,Chennai,18006,946000,951000,5000,6
720,Rapid,Style 1.5 TDI ATAutomatic,Skoda,Diesel,2018,TN-01,Automatic,1,82091,Chennai,20205,1061499,1061499,0,5
721,Compass,LIMITED 1.4 PETROL ATAutomatic,Jeep,Petrol,2018,TN-41,Automatic,3,38603,Chennai,23964,1259000,1312000,53000,5
722,Compass,LIMITED 2.0 DIESEL,Jeep,Diesel,2018,TN-14,Manual,2,92184,Chennai,22080,1160000,1220000,60000,5
723,Compass,LIMITED 1.4 PETROL ATAutomatic,Jeep,Petrol,2018,TN-01,Automatic,1,88923,Chennai,23659,1243000,1285000,42000,5
724,Compass,LIMITED PLUS PETROL ATAutomatic,Jeep,Petrol,2020,TN-09,Automatic,1,33089,Chennai,34360,1805200,1886000,80800,3
725,Compass,LONGITUDE 2.0 DIESEL,Jeep,Diesel,2017,TN-10,Manual,2,49397,Chennai,21737,1142000,1190000,48000,6
726,Compass,2.0 LIMITED,Jeep,Diesel,2018,TN-05,Manual,1,52297,Chennai,25056,1316399,1401099,84700,5
727,Compass,LIMITED O 1.4 ATAutomatic,Jeep,Petrol,2018,TN-04,Automatic,1,36930,Chennai,25241,1326099,1446099,120000,5
728,Compass,2.0 LIMITED,Jeep,Diesel,2017,TN-12,Manual,1,25656,Chennai,24706,1298000,1298000,0,6
729,Compass,LIMITED 2.0 4*4,Jeep,Diesel,2017,TN-14,Manual,1,47373,Chennai,27904,1466000,1740000,274000,6
730,Compass,2.0 LIMITED,Jeep,Diesel,2018,TN-04,Manual,1,35842,Chennai,27226,1430399,1430399,0,5
732,Swift,VDI ABS,Maruti,Diesel,2016,MP-09,Manual,2,97062,Mori,7976,408000,472000,64000,7
